machine_id,published,lifecycle_status,market,image_filename,image_alt_text,source_url,source_title,last_reviewed_date,notes,machine,manufacturer,country_of_manufacture,model_year,rated_hp,max_hp,max_hp_with_ipm,max_torque_nm,transmission,transmission_filter_tags,transmission_class,top_speed_filter,cylinders_filter,top_speed_kmh,wheelbase_mm,unladen_weight_kg,max_permissible_weight_40_kmh_kg,max_permissible_weight_50_kmh_kg,max_permissible_weight_60_kmh_kg,rated_hydraulic_flow_lpm,max_hydraulic_flow_lpm,max_scvs,rear_hitch_capacity_kg,front_hitch_capacity_kg,engine_capacity_l,number_of_cylinders,engine_manufacturer,cab_suspension,fuel_capacity_l,engine_stage_tier,adblue_tank_l,rear_pto_option,rear_pto_filter_tags
john-deere-5050e-2023-au,TRUE,,AU,,,,,,,John Deere 5050E,John Deere,India,2023,50,50,,188,9F/3R TSS,Mechanical / Shuttle,Mechanical / Shuttle,30,3,30,2050,2500,,,,68.8,68.8,1 Rear 2 Mid,1450,,2.9,3,John Deere,None (Rubber Isolated Cab),68,Tier 3,,540/540E,540E|540
john-deere-5055e-2023-au,TRUE,,AU,,,,,,,John Deere 5055E,John Deere,India,2023,55,55,,214,"12F/12R PR, 9F/3R TSS",Mechanical / Shuttle,Mechanical / Shuttle,33,3,33,2050,3000,,,,68.8,68.8,2 Rear + 2 Mid,1448,,2.9,3,John Deere,None (Rubber Isolated Cab),82,Tier 3,,540/540E,540E|540
john-deere-5065e-2023-au,TRUE,,AU,,,,,,,John Deere 5065E,John Deere,India,2023,65,65,,237,"12F/12R PR, 9F/3R TSS",Mechanical / Shuttle,Mechanical / Shuttle,33,3,33,2050,3000,,,,68.8,68.8,2 Rear + 2 Mid,1448,,2.9,3,John Deere,None (Rubber Isolated Cab),82,Tier 3,,540/540E,540E|540
john-deere-5075e-2023-au,TRUE,,AU,,,,,,,John Deere 5075E,John Deere,India,2023,75,75,,265,"12F/12R PR, 9F/3R TSS",Mechanical / Shuttle,Mechanical / Shuttle,33,3,33,2050,3000,,,,68.8,68.8,2 Rear + 2 Mid,1448,,2.9,3,John Deere,None (Rubber Isolated Cab),82,Tier 3,,540/540E,540E|540
john-deere-5082e-2023-au,TRUE,,AU,,,,,,,John Deere 5082E,John Deere,Mexico,2023,82,82,,315,12F/12R PR,Mechanical / Shuttle,Mechanical / Shuttle,30,4,30,2180,3000,,,,85.1,85.1,2 Rear + 2 Mid,1398,,4.5,4,John Deere,None (Rubber Isolated Cab),125,Tier 2,,540/540E,540E|540
john-deere-5090e-2023-au,TRUE,,AU,,,,,,,John Deere 5090E,John Deere,Mexico,2023,92,92,,355,12F/12R PR,Mechanical / Shuttle,Mechanical / Shuttle,30,4,30,2180,3000,,,,85.1,85.1,2 Rear + 2 Mid,1398,,4.5,4,John Deere,None (Rubber Isolated Cab),125,Tier 2,,540/540E,540E|540
john-deere-5075m-2025-au,TRUE,,AU,,,,,,,John Deere 5075M,John Deere,India,2025,75,75,,,PowrReverser™,Mechanical / Shuttle,Mechanical / Shuttle,40,3,40,2350,4175,,,,94,94,3 + 2,"2336, 2699",,2.9,3,John Deere,,142 / 165,Final Tier 4,,540/540E or 540/540E/1000,540E|540|1000
john-deere-5085m-2025-au,TRUE,,AU,,,,,,,John Deere 5085M,John Deere,India,2025,85,90,,,"PowrReverser™, PowrQuad™ PLUS, Powr8™",Mechanical / Shuttle|Semi-powershift,Powershift / Semi-powershift,40,4,40,2350,4175,,,,94 / 97,97,3 + 2,"2336, 2699 / 3164, 3569",1882,4.5,4,John Deere,,142 / 165,Final Tier 4,12,540/540E or 540/540E/1000,
john-deere-5095m-2025-au,TRUE,,AU,,,,,,,John Deere 5095M,John Deere,India,2025,95,100,,,"PowrReverser™, PowrQuad™ PLUS, Powr8™",Mechanical / Shuttle|Semi-powershift,Powershift / Semi-powershift,40,4,40,2350,4175,,,,94 / 97,97,3 + 2,"2336, 2699 / 3164, 3569",1882,4.5,4,John Deere,,142 / 165,Final Tier 4,12,540/540E or 540/540E/1000,540E|540|1000
john-deere-5105m-2025-au,TRUE,,AU,,,,,,,John Deere 5105M,John Deere,India,2025,105,110,,,"PowrReverser™, PowrQuad™ PLUS, Powr8™",Mechanical / Shuttle|Semi-powershift,Powershift / Semi-powershift,40,4,40,2350,4175,,,,94 / 97,97,3 + 2,"2336, 2699 / 3164, 3569",1882,4.5,4,John Deere,,142 / 165,Final Tier 4,12,540/540E or 540/540E/1000,540E|540|1000
